State,Year,suicide_rate,Total,male_suicides,female_suicides
A & N Islands,2001,35.93314763,129,79,50
Andhra Pradesh,2001,13.74670116,10522,6379,4143
Arunachal Pradesh,2001,10,111,76,35
Assam,2001,9.850035351,2647,1836,811
Bihar,2001,0.714581975,603,307,296
Chandigarh,2001,7.600434311,70,39,31
Chhattisgarh,2001,19.19500215,4025,2640,1385
D & N Haveli,2001,21.92982456,50,35,15
Daman & Diu,2001,8.536585366,14,10,4
Delhi (Ut),2001,8.756183746,1239,730,509
Goa,2001,18.82352941,256,167,89
Gujarat,2001,9.330269333,4791,2649,2142
Haryana,2001,9.349233708,2007,1364,643
Himachal Pradesh,2001,5.007339749,307,177,130
Jammu & Kashmir,2001,1.486735983,153,91,62
Jharkhand,2001,0.916724726,250,141,109
Karnataka,2001,22.28202772,11881,7871,4010
Kerala,2001,29.93869636,9572,6787,2785
Lakshadweep,2001,0,0,0,0
Madhya Pradesh,2001,11.23577103,6860,3536,3324
Maharashtra,2001,14.92759839,14618,9338,5280
Manipur,2001,1.880733945,41,24,17
Meghalaya,2001,3.697407565,87,69,18
Mizoram,2001,6,54,46,8
Nagaland,2001,1.949317739,40,25,15
Odisha,2001,10.92801856,4052,2089,1963
Puducherry,2001,53.97959184,529,323,206
Punjab,2001,2.631472081,648,396,252
Rajasthan,2001,5.569112777,3195,1959,1236
Sikkim,2001,17.02898551,94,62,32
Tamil Nadu,2001,17.99432597,11290,7128,4162
Tripura,2001,26.63755459,854,463,391
Uttar Pradesh,2001,2.08725386,3516,1801,1715
West Bengal,2001,16.95797049,13690,7495,6195
A & N Islands,2002,38.70967742,144,91,53
Andhra Pradesh,2002,15.0469695,11693,7571,4122
Arunachal Pradesh,2002,10.16949153,114,71,43
Assam,2002,9.188417469,2510,1702,808
Bihar,2002,0.841436051,720,426,294
Chandigarh,2002,9.304812834,87,53,34
Chhattisgarh,2002,18.44759948,3950,2629,1321
D & N Haveli,2002,22.42152466,50,32,18
Daman & Diu,2002,9.550561798,17,15,2
Delhi (Ut),2002,7.249070632,1053,643,410
Goa,2002,22.77081798,309,226,83
Gujarat,2002,8.917221913,4644,2706,1938
Haryana,2002,10.07464395,2200,1570,630
Himachal Pradesh,2002,5.384491375,334,208,126
Jammu & Kashmir,2002,1.77008177,184,96,88
Jharkhand,2002,0.980639579,272,153,119
Karnataka,2002,22.73527395,12270,8080,4190
Kerala,2002,30.36869641,9810,7165,2645
Lakshadweep,2002,0,0,0,0
Madhya Pradesh,2002,11.07170369,6899,3579,3320
Maharashtra,2002,14.62096588,14529,9447,5082
Manipur,2002,1.763110307,39,30,9
Meghalaya,2002,2.830587241,67,49,18
Mizoram,2002,7.276736494,66,56,10
Nagaland,2002,1.329394387,27,19,8
Odisha,2002,11.7003973,4388,2631,1757
Puducherry,2002,58.2733813,567,410,157
Punjab,2002,2.036226354,507,397,110
Rajasthan,2002,5.566409597,3248,2092,1156
Sikkim,2002,14.13043478,78,54,24
Tamil Nadu,2002,17.75405798,11244,6983,4261
Tripura,2002,23.85911179,779,493,286
Uttar Pradesh,2002,2.477671805,4250,2326,1924
West Bengal,2002,15.87613514,13007,7124,5883
A & N Islands,2003,29.35064935,113,70,43
Andhra Pradesh,2003,14.51231302,11409,7513,3896
Arunachal Pradesh,2003,7.136563877,81,54,27
Assam,2003,9.365417223,2596,1676,920
Bihar,2003,0.68747059,599,351,248
Chandigarh,2003,10.54247697,103,68,35
Chhattisgarh,2003,18.00680022,3919,2592,1327
D & N Haveli,2003,22.31759657,52,30,22
Daman & Diu,2003,12.63157895,24,18,6
Delhi (Ut),2003,7.711342964,1153,741,412
Goa,2003,21.59827214,300,213,87
Gujarat,2003,8.624206709,4566,2650,1916
Haryana,2003,9.998653078,2227,1613,614
Himachal Pradesh,2003,6.147475713,386,240,146
Jammu & Kashmir,2003,1.307313376,138,63,75
Jharkhand,2003,0.96433383,272,153,119
Karnataka,2003,22.61682585,12361,8375,3986
Kerala,2003,28.95891504,9438,6935,2503
Lakshadweep,2003,2.941176471,2,1,1
Madhya Pradesh,2003,10.64529841,6762,3538,3224
Maharashtra,2003,14.61878256,14760,9810,4950
Manipur,2003,1.160714286,26,21,5
Meghalaya,2003,1.710471423,41,32,9
Mizoram,2003,5.658324266,52,41,11
Nagaland,2003,1.069518717,22,17,5
Odisha,2003,11.65581076,4420,2740,1680
Puducherry,2003,58.2,582,388,194
Punjab,2003,2.499702888,631,506,125
Rajasthan,2003,6.151700497,3661,2389,1272
Sikkim,2003,18.78354204,105,68,37
Tamil Nadu,2003,18.58397383,11872,7154,4718
Tripura,2003,25.5216208,844,488,356
Uttar Pradesh,2003,2.093669265,3663,1987,1676
West Bengal,2003,16.01253994,13280,7424,5856
A & N Islands,2004,30.5764411,122,81,41
Andhra Pradesh,2004,17.01340847,13526,9082,4444
Arunachal Pradesh,2004,6.875543951,79,49,30
Assam,2004,10.09817173,2839,1945,894
Bihar,2004,0.395885498,351,212,139
Chandigarh,2004,7.30994152,75,52,23
Chhattisgarh,2004,20.32924789,4495,2986,1509
D & N Haveli,2004,15.85365854,39,20,19
Daman & Diu,2004,6.467661692,13,5,8
Delhi (Ut),2004,8.163265306,1256,799,457
Goa,2004,21.97340798,314,212,102
Gujarat,2004,8.877653444,4776,2850,1926
Haryana,2004,9.168978729,2082,1454,628
Himachal Pradesh,2004,5.838841675,371,236,135
Jammu & Kashmir,2004,1.045068583,112,51,61
Jharkhand,2004,1.454786492,417,233,184
Karnataka,2004,21.57536104,11937,8018,3919
Kerala,2004,27.53764259,9053,6598,2455
Lakshadweep,2004,0,0,0,0
Madhya Pradesh,2004,10.49907293,6795,3634,3161
Maharashtra,2004,14.36050933,14729,9903,4826
Manipur,2004,1.807760141,41,32,9
Meghalaya,2004,2.266172229,55,39,16
Mizoram,2004,6.451612903,60,53,7
Nagaland,2004,1.488238118,31,25,6
Odisha,2004,10.9968953,4215,2544,1671
Puducherry,2004,51.97685632,539,338,201
Punjab,2004,2.520909873,645,516,129
Rajasthan,2004,6.13977254,3725,2486,1239
Sikkim,2004,17.31448763,98,56,42
Tamil Nadu,2004,19.93138351,12839,7946,4893
Tripura,2004,22.99193789,770,433,337
Uttar Pradesh,2004,2.038608567,3637,1954,1683
West Bengal,2004,15.9996186,13424,7661,5763
A & N Islands,2005,33.65617433,139,86,53
Andhra Pradesh,2005,16.7253543,13442,8865,4577
Arunachal Pradesh,2005,6.018916595,70,49,21
Assam,2005,9.983863046,2846,1951,895
Bihar,2005,0.602249285,543,327,216
Chandigarh,2005,8.240740741,89,63,26
Chhattisgarh,2005,21.73680695,4881,3305,1576
D & N Haveli,2005,26.53846154,69,41,28
Daman & Diu,2005,15.09433962,32,25,7
Delhi (Ut),2005,7.864316847,1245,777,468
Goa,2005,19.13161465,282,197,85
Gujarat,2005,8.720398228,4765,2902,1863
Haryana,2005,8.841832325,2046,1493,553
Himachal Pradesh,2005,5.586679116,359,214,145
Jammu & Kashmir,2005,2.702951181,294,196,98
Jharkhand,2005,2.775106471,808,523,285
Karnataka,2005,20.64044864,11557,7707,3850
Kerala,2005,27.88200519,9244,6830,2414
Lakshadweep,2005,0,0,0,0
Madhya Pradesh,2005,8.265817023,5448,2851,2597
Maharashtra,2005,13.84984639,14426,9603,4823
Manipur,2005,1.175958188,27,23,4
Meghalaya,2005,2.88970289,71,50,21
Mizoram,2005,5.838641189,55,47,8
Nagaland,2005,1.280227596,27,21,6
Odisha,2005,10.86552365,4208,2554,1654
Puducherry,2005,49.86098239,538,340,198
Punjab,2005,2.268081003,588,482,106
Rajasthan,2005,6.75854929,4178,2858,1320
Sikkim,2005,19.02268761,109,62,47
Tamil Nadu,2005,18.59763141,12076,7507,4569
Tripura,2005,21.09144543,715,401,314
Uttar Pradesh,2005,1.896430378,3449,1772,1677
West Bengal,2005,17.6976026,15015,8614,6401
A & N Islands,2006,31.14754098,133,96,37
Andhra Pradesh,2006,16.34592891,13276,8863,4413
Arunachal Pradesh,2006,10.95076401,129,96,33
Assam,2006,10.48934109,3031,2116,915
Bihar,2006,0.674444238,618,299,319
Chandigarh,2006,7.04845815,80,56,24
Chhattisgarh,2006,20.2921437,4626,3060,1566
D & N Haveli,2006,15.32846715,42,23,19
Daman & Diu,2006,9.865470852,22,14,8
Delhi (Ut),2006,9.158431036,1492,960,532
Goa,2006,18.12788398,275,183,92
Gujarat,2006,9.076160433,5035,3048,1987
Haryana,2006,9.826466969,2316,1766,550
Himachal Pradesh,2006,7.03293321,457,301,156
Jammu & Kashmir,2006,2.374263706,262,152,110
Jharkhand,2006,2.895119559,856,521,335
Karnataka,2006,21.55807015,12212,8048,4164
Kerala,2006,27.00293185,9026,6583,2443
Lakshadweep,2006,2.739726027,2,1,1
Madhya Pradesh,2006,9.591164503,6435,3503,2932
Maharashtra,2006,14.65292226,15494,10510,4984
Manipur,2006,1.548387097,36,24,12
Meghalaya,2006,3.697749196,92,69,23
Mizoram,2006,7.345225603,70,60,10
Nagaland,2006,1.31147541,28,19,9
Odisha,2006,10.39083868,4065,2373,1692
Puducherry,2006,46.83882458,526,349,177
Punjab,2006,2.940168336,772,610,162
Rajasthan,2006,6.771933726,4263,2910,1353
Sikkim,2006,25,145,98,47
Tamil Nadu,2006,18.92106671,12381,7509,4872
Tripura,2006,22.29020979,765,428,337
Uttar Pradesh,2006,1.672152377,3099,1761,1338
West Bengal,2006,18.33434381,15725,9120,6605
A & N Islands,2007,35.29411765,156,100,56
Andhra Pradesh,2007,18.13794196,14882,9949,4933
Arunachal Pradesh,2007,10.82214765,129,98,31
Assam,2007,10.456936,3062,2116,946
Bihar,2007,1.036876263,965,534,431
Chandigarh,2007,6.850459482,82,60,22
Chhattisgarh,2007,20.91726463,4839,3256,1583
D & N Haveli,2007,26.20689655,76,44,32
Daman & Diu,2007,6.41025641,15,6,9
Delhi (Ut),2007,8.836515513,1481,966,515
Goa,2007,17.21938776,270,178,92
Gujarat,2007,9.911542151,5580,3375,2205
Haryana,2007,10.13876735,2433,1852,581
Himachal Pradesh,2007,6.121516674,402,258,144
Jammu & Kashmir,2007,2.090779128,234,153,81
Jharkhand,2007,4.295521194,1289,880,409
Karnataka,2007,21.47594778,12304,8392,3912
Kerala,2007,26.5982074,8962,6588,2374
Lakshadweep,2007,4.054054054,3,1,2
Madhya Pradesh,2007,9.271086632,6329,3470,2859
Maharashtra,2007,14.14820958,15184,10420,4764
Manipur,2007,1.657458564,39,28,11
Meghalaya,2007,3.455123114,87,60,27
Mizoram,2007,2.901554404,28,22,6
Nagaland,2007,1.110596946,24,17,7
Odisha,2007,10.90494874,4308,2488,1820
Puducherry,2007,44,517,319,198
Punjab,2007,3.18576748,847,632,215
Rajasthan,2007,6.924481483,4437,3154,1283
Sikkim,2007,20.78364566,122,84,38
Tamil Nadu,2007,20.95147074,13811,8687,5124
Tripura,2007,20.29360967,705,419,286
Uttar Pradesh,2007,2.07984662,3927,2054,1873
West Bengal,2007,17.14767076,14860,8505,6355
A & N Islands,2008,31.22270742,143,98,45
Andhra Pradesh,2008,17.32361389,14354,9721,4633
Arunachal Pradesh,2008,9.12106136,110,77,33
Assam,2008,10.07754552,2989,1970,1019
Bihar,2008,1.074369668,1015,609,406
Chandigarh,2008,6.550907656,83,58,25
Chhattisgarh,2008,21.07304185,4945,3248,1697
D & N Haveli,2008,19.35483871,60,32,28
Daman & Diu,2008,7.786885246,19,14,5
Delhi (Ut),2008,7.559758645,1303,795,508
Goa,2008,17.61817066,287,183,104
Gujarat,2008,10.79514612,6165,3735,2430
Haryana,2008,10.8741044,2656,1974,682
Himachal Pradesh,2008,9.493670886,630,417,213
Jammu & Kashmir,2008,2.731277533,310,177,133
Jharkhand,2008,2.992969315,911,602,309
Karnataka,2008,21.09896939,12222,8216,4006
Kerala,2008,25.23411273,8569,6130,2439
Lakshadweep,2008,0,0,0,0
Madhya Pradesh,2008,10.98836204,7629,4365,3264
Maharashtra,2008,13.19829581,14374,9889,4485
Manipur,2008,1.427971441,34,23,11
Meghalaya,2008,3.335949765,85,57,28
Mizoram,2008,4.200819672,41,35,6
Nagaland,2008,1.920438957,42,32,10
Odisha,2008,12.29781578,4904,3155,1749
Puducherry,2008,40.92009685,507,334,173
Punjab,2008,3.228562937,869,643,226
Rajasthan,2008,7.923312883,5166,3602,1564
Sikkim,2008,48.23529412,287,216,71
Tamil Nadu,2008,21.728979,14425,9043,5382
Tripura,2008,21.39402561,752,442,310
Uttar Pradesh,2008,2.125568699,4088,2179,1909
West Bengal,2008,16.97255045,14852,8369,6483
A & N Islands,2009,27.6371308,131,86,45
Andhra Pradesh,2009,17.33433753,14500,9887,4613
Arunachal Pradesh,2009,9.009009009,110,77,33
Assam,2009,9.874488131,2966,1882,1084
Bihar,2009,1.096516396,1051,514,537
Chandigarh,2009,5.597014925,75,44,31
Chhattisgarh,2009,24.72264246,5883,3954,1929
D & N Haveli,2009,16.96969697,56,30,26
Daman & Diu,2009,9.019607843,23,15,8
Delhi (Ut),2009,8.332863188,1477,933,544
Goa,2009,16.43997635,278,184,94
Gujarat,2009,10.63028838,6156,3671,2485
Haryana,2009,10.07283995,2503,1815,688
Himachal Pradesh,2009,8.355714712,560,366,194
Jammu & Kashmir,2009,2.789848775,321,168,153
Jharkhand,2009,3.602786328,1112,744,368
Karnataka,2009,20.82764039,12195,8209,3986
Kerala,2009,25.58744447,8755,6322,2433
Lakshadweep,2009,1.333333333,1,0,1
Madhya Pradesh,2009,12.91122383,9113,5100,4013
Maharashtra,2009,12.94293343,14300,9785,4515
Manipur,2009,1.120797011,27,18,9
Meghalaya,2009,4.344453064,112,67,45
Mizoram,2009,6.983805668,69,62,7
Nagaland,2009,1.401446655,31,25,6
Odisha,2009,10.84660686,4365,2567,1798
Puducherry,2009,39.69348659,518,326,192
Punjab,2009,3.109397944,847,635,212
Rajasthan,2009,7.638365254,5065,3511,1554
Sikkim,2009,40.03322259,241,122,119
Tamil Nadu,2009,21.58118379,14424,8950,5474
Tripura,2009,20.7478212,738,467,271
Uttar Pradesh,2009,2.123150923,4158,2239,1919
West Bengal,2009,16.58232864,14648,8494,6154
A & N Islands,2010,31.90184049,156,112,44
Andhra Pradesh,2010,18.83424538,15901,10947,4954
Arunachal Pradesh,2010,10.60728745,131,91,40
Assam,2010,9.841186335,2993,2026,967
Bihar,2010,1.261420693,1226,712,514
Chandigarh,2010,5.028328612,71,31,40
Chhattisgarh,2010,27.03531753,6522,4545,1977
D & N Haveli,2010,18.10344828,63,37,26
Daman & Diu,2010,11.69811321,31,19,12
Delhi (Ut),2010,8.463605946,1543,961,582
Goa,2010,18.4105203,322,236,86
Gujarat,2010,10.57374536,6207,3813,2394
Haryana,2010,11.45627226,2895,2178,717
Himachal Pradesh,2010,8.009457662,542,348,194
Jammu & Kashmir,2010,2.221459816,259,122,137
Jharkhand,2010,3.936982712,1232,795,437
Karnataka,2010,21.38076728,12651,8407,4244
Kerala,2010,24.91078423,8586,6346,2240
Lakshadweep,2010,1.315789474,1,0,1
Madhya Pradesh,2010,12.55088385,9003,5087,3916
Maharashtra,2010,14.20538727,15916,10858,5058
Manipur,2010,1.517637408,37,24,13
Meghalaya,2010,4.139517056,108,80,28
Mizoram,2010,7.6,76,67,9
Nagaland,2010,0.536193029,12,11,1
Odisha,2010,10.47952122,4255,2430,1825
Puducherry,2010,37.10737765,508,333,175
Punjab,2010,3.338655828,920,719,201
Rajasthan,2010,7.299594961,4920,3365,1555
Sikkim,2010,45.97701149,280,235,45
Tamil Nadu,2010,24.6176029,16561,10552,6009
Tripura,2010,20.14448458,725,441,284
Uttar Pradesh,2010,1.819942111,3628,1787,1841
West Bengal,2010,17.98716885,16037,9301,6736
A & N Islands,2011,27.09163347,136,94,42
Andhra Pradesh,2011,17.69850214,15077,10120,4957
Arunachal Pradesh,2011,10.72858287,134,99,35
Assam,2011,8.853236335,2726,1826,900
Bihar,2011,0.807065631,795,446,349
Chandigarh,2011,7.094594595,105,57,48
Chhattisgarh,2011,27.62964175,6756,4527,2229
D & N Haveli,2011,17.30769231,63,41,22
Daman & Diu,2011,11.9133574,33,18,15
Delhi (Ut),2011,9.148096812,1716,1168,548
Goa,2011,16.28682601,293,195,98
Gujarat,2011,10.72875515,6382,3912,2470
Haryana,2011,12.63334112,3245,2464,781
Himachal Pradesh,2011,6.485141268,443,269,174
Jammu & Kashmir,2011,2.430967305,287,144,143
Jharkhand,2011,3.820090144,1212,825,387
Karnataka,2011,21.11408498,12622,8472,4150
Kerala,2011,24.29122969,8431,6212,2219
Lakshadweep,2011,0,0,0,0
Madhya Pradesh,2011,12.70461999,9259,5240,4019
Maharashtra,2011,14.04168391,15947,10887,5060
Manipur,2011,1.338199513,33,18,15
Meghalaya,2011,5.797650625,153,111,42
Mizoram,2011,8.902077151,90,77,13
Nagaland,2011,1.457597173,33,25,8
Odisha,2011,12.79509778,5241,3060,2181
Puducherry,2011,39.03293623,557,396,161
Punjab,2011,3.467212232,966,755,211
Rajasthan,2011,6.350411871,4348,3016,1332
Sikkim,2011,29.87012987,184,107,77
Tamil Nadu,2011,23.57972171,15963,10282,5681
Tripura,2011,19.30788245,703,447,256
Uttar Pradesh,2011,2.387713849,4843,2713,2130
West Bengal,2011,18.32709169,16492,9624,6868
